"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*05244*","Jack Clarke","TOT/IPS","M,F","254","FA","WHU 3<br/>@IPS 1 F","51.11","-","-","1","0","0","0","0","0","5","1","0","0"
"*06c6g*","Yankuba Minteh","BHA","M,F","139","RED","BHA 4<br/>@TOT 1 F","51.11","-","-","1","0","0","0","0","0","5","1","0","0"
"*05gcr*","Bruno Fernandes","MUN","M,F","19","KLI","AVL 0<br/>@MUN 2 F","50.9","-","-","1","0","1","0","1","3","23","2","0","0"
"*0435t*","Ilkay Gundogan","MCI","M","147","NOAD","MCI 2<br/>@FUL 0 F","50.83","-","-","1","0","0","0","0","0","11","0","0","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","248","FA","CRY 1<br/>@LIV 1 F","50.83","-","-","1","0","0","0","0","0","11","0","0","0"
"*0414o*","James Maddison","TOT","M","59","FA","BHA 4<br/>@TOT 1 F","50.65","-","-","1","0","0","0","0","1","20","2","0","0"
"*04sft*","Yves Bissouma","TOT","M","278","FA","BHA 4<br/>@TOT 1 F","50.63","-","-","1","0","0","0","0","0","10","0","0","0"
"*04yey*","Max Kilman","WHU","D","104","NIM","WHU 3<br/>@IPS 1 F","50.63","-","-","1","0","0","0","0","0","10","0","0","0"
"*04rd0*","Bobby De Cordova-Reid","LEI","M,F","410","FA","LEI 0<br/>@BOU 2 F","50.51","-","-","1","0","0","0","0","0","2","1","0","0"
"*04qr8*","Diogo Jota","LIV","F","234","FA","CRY 1<br/>@LIV 1 F","50.43","-","-","1","0","0","0","0","0","9","0","0","0"
"*04ge6*","Joe Willock","NEW","M","329","PMP","EVE 1<br/>@NEW 0 F","50.43","-","-","1","0","0","0","0","0","9","0","0","0"
"*0689w*","Georginio Rutter","LEE/BHA","M,F","168","FA","BHA 4<br/>@TOT 1 F","50.31","-","-","1","0","0","0","0","0","1","1","0","0"
"*06p7o*","Ramon Sosa","NOT","F","400","FA","CHE 1<br/>@NOT 0 F","50.31","-","-","1","0","0","0","0","0","1","1","0","0"
"*06nbt*","Jahmai Simpson-Pusey","MCI","D","489","FA","MCI 2<br/>@FUL 0 F","50.23","-","-","1","0","0","0","0","0","8","0","0","0"
"*04xjr*","Harvey Elliott","LIV","M,F","395","ACB","CRY 1<br/>@LIV 1 F","50.03","-","-","1","0","0","0","0","0","7","0","0","0"
"*04t95*","Oliver Skipp","TOT/LEI","M","421","FA","LEI 0<br/>@BOU 2 F","50.03","-","-","1","0","0","0","0","0","7","0","0","0"
"*0372y*","Matt Targett","NEW","D","521","FA","EVE 1<br/>@NEW 0 F","50.03","-","-","1","0","0","0","0","0","7","0","0","0"
"*05uns*","Leon Bailey","AVL","M","317","FA","AVL 0<br/>@MUN 2 F","49.83","-","-","1","0","0","0","0","0","6","0","0","0"
"*06195*","Tyler Dibling","SOU","M,F","209","FA","ARS 2<br/>@SOU 1 F","49.83","-","-","1","0","0","0","0","0","6","0","0","0"
"*068yc*","Yasin Ayari","BHA","M","176","NIM","BHA 4<br/>@TOT 1 F","49.63","-","-","1","0","0","0","0","0","5","0","0","0"
"*06kyv*","Kosta Nedeljkovic","AVL","D","479","FA","AVL 0<br/>@MUN 2 F","49.63","-","-","1","0","0","0","0","0","5","0","0","0"
"*06dpw*","Ji-Soo Kim","BRF","D","508","FA","BRF 1<br/>@WOL 1 F","49.43","-","-","1","0","0","0","0","0","4","0","0","0"
"*04f67*","Philip Billing","BOU","M","431","FA","LEI 0<br/>@BOU 2 F","49.23","-","-","1","0","0","0","0","0","3","0","0","0"
"*06fso*","Wataru Endo","LIV","M","409","FA","CRY 1<br/>@LIV 1 F","49.23","-","-","1","0","0","0","0","0","3","0","0","0"
"*05ubt*","Harry Clarke","IPS","D","475","FA","WHU 3<br/>@IPS 1 F","49.23","-","-","1","0","0","0","0","0","3","0","0","0"
"*06nl5*","Jesper Lindstrom","EVE","M","274","FA","EVE 1<br/>@NEW 0 F","49.23","-","-","1","0","0","0","0","0","3","0","0","0"
"*02lkt*","Ali Al-Hamadi","IPS","F","552","FA","WHU 3<br/>@IPS 1 F","49.03","-","-","1","0","0","0","0","0","2","0","0","0"
"*05o4b*","Matty Cash","AVL","D,M","196","BAR","AVL 0<br/>@MUN 2 F","48.86","-","-","1","0","0","0","0","1","11","2","0","0"
"*04rzl*","Taiwo Awoniyi","NOT","F","390","FA","CHE 1<br/>@NOT 0 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*02m4d*","Craig Dawson","WOL","D","342","FA","BRF 1<br/>@WOL 1 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*06kx1*","Justin Devenny","CRY","M,F","385","FA","CRY 1<br/>@LIV 1 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*06mnc*","Daichi Kamada","CRY","M,F","297","FA","CRY 1<br/>@LIV 1 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*05os9*","Thomas Partey","ARS","D,M","79","RED","ARS 2<br/>@SOU 1 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*05yct*","Nathan Patterson","EVE","D","418","FA","EVE 1<br/>@NEW 0 F","48.83","-","-","1","0","0","0","0","0","1","0","0","0"
"*06442*","Zach Abbott","NOT","D","563","FA","CHE 1<br/>@NOT 0 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*06kwp*","Josh Acheampong","CHE","D","454","FA","CHE 1<br/>@NOT 0 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*06nvc*","Asher Agbinone","CRY","M","513","FA","CRY 1<br/>@LIV 1 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*06q2h*","Damola Ajayi","TOT","F","567","FA","BHA 4<br/>@TOT 1 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uel*","Kristoffer Ajer","BRF","D","291","FA","BRF 1<br/>@WOL 1 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*06php*","Romeo Akachukwu","SOU","M","568","FA","ARS 2<br/>@SOU 1 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*0687b*","Alex Moreno","AVL/NOT","D","325","FA","CHE 1<br/>@NOT 0 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*06qlh*","Farid Alfa-Ruprecht","MCI","F","570","FA","MCI 2<br/>@FUL 0 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
"*067x6*","Max Alleyne","MCI","D","571","FA","MCI 2<br/>@FUL 0 F","48.63","-","-","0","0","0","0","0","0","0","0","0","0"
