"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*04c3c*","Rhian Brewster","LIV/SHU","F","364","FA","BUR 0<br/>@SHU 1 F","51.66","-","-","-","-","1","0","1","1","0","0","3","0","1","0"
"*05r98*","Morgan Sanson","AVL","M","452","FA","CHE 1<br/>@AVL 2 F","51.39","-","-","-","-","2","0","0","0","0","0","18","1","2","0"
"*04rd0*","Bobby De Cordova-Reid","FUL","M,F","253","FA","NEW 2<br/>@FUL 0 F","51.1","-","-","-","-","1","0","1","0","0","0","21","0","1","0"
"*03yr0*","Daniel James","MUN","M,F","355","FA","MUN 2<br/>@WOL 1 F","51.1","-","-","-","-","2","0","1","0","0","0","21","0","1","0"
"*03yrr*","Mohamed Elneny","ARS","M","298","FA","BHA 0<br/>@ARS 2 F","51.02","-","-","-","-","1","0","0","0","0","0","34","0","1","0"
"*05n04*","Mateusz Klich","LEE","M","183","FA","WBA 1<br/>@LEE 3 F","50.73","-","-","-","-","1","0","1","0","0","1","63","0","0","0"
"*03am7*","Jacob Murphy","NEW","D,M","260","FA","NEW 2<br/>@FUL 0 F","50.7","-","-","-","-","1","0","1","0","1","0","5","0","1","0"
"*04k4j*","Aaron Connolly","BHA","F","367","FA","BHA 0<br/>@ARS 2 F","50.66","-","-","-","-","1","0","0","1","1","0","3","0","0","0"
"*02llz*","Ciaran Clark","NEW","D","194","FA","NEW 2<br/>@FUL 0 F","50.52","-","-","-","-","1","0","0","0","1","1","36","1","2","0"
"*05r9b*","Martin Odegaard","ARS","M","333","ADB","BHA 0<br/>@ARS 2 F","50.41","-","-","-","-","1","0","1","0","0","0","23","0","0","0"
"*02m79*","Ryan Bertrand","SOU","D,M","165","FA","SOU 0<br/>@WHU 3 F","50.33","-","-","-","-","1","0","0","0","0","0","37","0","0","0"
"*0522h*","Alexis Mac Allister","BHA","M,F","326","FA","BHA 0<br/>@ARS 2 F","50.17","-","-","-","-","1","0","1","0","1","0","8","0","0","0"
"*05o8k*","Fabio Silva","WOL","F","281","FA","MUN 2<br/>@WOL 1 F","50.17","-","-","-","-","2","0","0","1","0","0","7","0","1","0"
"*02lpf*","Ross Barkley","CHE/AVL","M","207","FUG","CHE 1<br/>@AVL 2 F","49.94","-","-","-","-","1","0","1","0","0","0","20","0","0","0"
"*03dyk*","Jamie Vardy","LEI","F","41","NOAD","TOT 4<br/>@LEI 2 F","49.92","-","-","-","-","2","0","0","0","0","0","15","1","1","0"
