"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*02llz*","Ciaran Clark","NEW","D","385","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02t1k*","Nathaniel Clyne","CRY","D","313","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","1","0","0","0","0","0","0","0","0","0"
"*05u1m*","Nathan Collins","BUR","D","246","NIM","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05mzx*","Liam Cooper","LEE","D","191","BAR","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05w90*","Maxwel Cornet","BUR","D,M,F","144","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03ena*","Aaron Cresswell","WHU","D","145","KLI","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ogl*","Charlie Cresswell","LEE","D","456","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","1","0","0","0","0","0","0","0","0","0"
"*052k1*","Luke Cundle","WOL","M","455","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*054ow*","Vontae Daley-Campbell","LEI","D","591","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*048xg*","Josh Dasilva","BRF","M","482","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*040ah*","Tom Davies","EVE","M","431","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03yuo*","Keinan Davis","AVL","F","502","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r34*","Amad Diallo","MUN","F","597","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tm0*","Lucas Digne","EVE/AVL","D,M","139","BAR","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05aly*","Elijah Dixon-Bonner","LIV","M","600","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0522r*","Moussa Djenepo","SOU","M","443","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uog*","Lewis Dobbin","EVE","F","524","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ux0*","Owen Dodgson","BUR","D","601","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m5h*","Kieran Dowell","NOR","M,F","369","FA","TOT 5<br/>@NOR 0 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05roa*","Cody Drameh","LEE","D","479","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*032f5*","Paul Dummett","NEW","D","462","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhw*","Samuel Edozie","MCI","F","603","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0522t*","Anwar El Ghazi","AVL/EVE","M","407","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ogb*","Anthony Elanga","MUN","M,F","233","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04xjr*","Harvey Elliott","LIV","M","421","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05u95*","Peter Etebo","WAT","M","444","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y56*","Oliver Ewing","LEI","M","606","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nt6*","Eberechi Eze","CRY","M,F","363","ADB","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05o8k*","Fabio Silva","WOL","F","404","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mf8*","Nathan Ferguson","CRY","D","517","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03jab*","Federico Fernandez","NEW","D","420","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03278*","Fernandinho","MCI","D,M","272","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0452s*","Ashley Fletcher","WAT","F","481","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05opl*","Wesley Fofana","LEI","D","355","NIM","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05trc*","Tariqe Fosu-Henry","BRF","M","485","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lof*","Ryan Fredericks","WHU","D","465","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0329o*","Dwight Gayle","NEW","F","525","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*056iu*","Jean-Philippe Gbamin","EVE","M","473","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04360*","Ben Gibson","NOR","D","235","FA","TOT 5<br/>@NOR 0 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03r93*","Joseph Gomez","LIV","D","393","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05uhl*","Kaide Gordon","LIV","F","492","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05tr7*","Lewis Gordon","BRF","D","618","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02ltx*","Dan Gosling","WAT","M","435","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4r*","Sam Greenwood","LEE","F","429","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05reo*","Reece Hannam","CRY","D","626","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y57*","Bjorn Hardley","MUN","D","627","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04qr4*","Kortney Hause","AVL","D","374","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*035mq*","Isaac Hayden","NEW","D,M","382","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05trh*","Maxwell Haygarth","BRF","M","629","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*047l2*","Jeff Hendrick","NEW","M","453","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05x12*","Leo Fuhr Hjelde","LEE","D","457","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04yjx*","Ki-Jana Hoever","WOL","D,M","432","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*056zd*","Adam Idah","NOR","M,F","352","FA","TOT 5<br/>@NOR 0 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03g40*","Kelechi Iheanacho","LEI","F","217","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05t6z*","Tim Iroegbunam","WBA/AVL","M","476","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*038ze*","Alex Iwobi","EVE","D,M,F","225","NIM","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05u41*","Julian Jeanvier","BRF","D","638","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ozb*","Jack Jenkins","LEE","M","639","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mcg*","Ben Johnson","WHU","D,M","318","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04o82*","Curtis Jones","LIV","M","274","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lnd*","Phil Jones","MUN","D","438","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tcc*","Jonny","WOL","D,M","291","KLI","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0521z*","James Justin","LEI","D,M","325","SJB","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*0436l*","Christian Kabasele","WAT","D","321","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03srm*","N'Golo Kante","CHE","M","121","ADB","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rhe*","Naby Keita","LIV","M","260","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lk9*","Martin Kelly","CRY","D","645","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m5e*","Jonjoe Kenny","EVE","D","426","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nuh*","Robin Koch","LEE","D,M","303","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04fjx*","Sead Kolasinac","ARS","D","494","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05u7f*","Ibrahima Konate","LIV","D","304","PMP","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04u41*","Mateo Kovacic","CHE","M","140","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05746*","Emil Krafth","NEW","D","310","NIM","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05w9n*","Alex Kral","WHU","M","509","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05unu*","Romeo Lavia","MCI","M","651","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05r4i*","Hayden Lindley","AVL","M","656","FA","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lni*","Jesse Lingard","MUN","M,F","391","FA","MUN 0<br/>@CRY 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dxa*","Kevin Long","BUR","D","437","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*02los*","Shane Long","SOU","F","388","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05oj4*","Emmanuel Longelo","WHU","F","658","FA","WHU 1<br/>@BHA 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ug0*","Sean Longstaff","NEW","M","268","FA","NEW 2<br/>@BUR 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04aj0*","Ademola Lookman","FUL/LEI","M,F","187","FA","SOU 1<br/>@LEI 4 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ts2*","Imran Louza","WAT","M","340","FA","WAT 1<br/>@CHE 2 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*04tsf*","Paris Maghoma","BRF","M","662","FA","LEE 2<br/>@BRF 1 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dyp*","Riyad Mahrez","MCI","M,F","57","SJB","AVL 2<br/>@MCI 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m3q*","Ainsley Maitland-Niles","ARS","M","436","FA","EVE 1<br/>@ARS 5 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
"*05o8j*","Marcal","WOL","D,M","314","FA","WOL 1<br/>@LIV 3 F","49.22","-","-","0","0","0","0","0","0","0","0","0","0"
