"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*052ca*","Ezri Konsa","AVL","D","209","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*05746*","Emil Krafth","NEW","D","310","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*037sc*","Erik Lamela","TOT","M,F","266","FA","TOT 1<br/>@CRY 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02lyy*","Henri Lansbury","AVL","M","426","FA","AVL 1<br/>@WHU 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04mqu*","Aymeric Laporte","MCI","D","170","NIM","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052cg*","Yasser Larouci","LIV","D","571","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*051kk*","Moritz Leitner","NOR","M","336","FA","NOR 0<br/>@MCI 5 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*04356*","Florian Lejeune","NEW","D","347","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*052ci*","Adam Lewis","LIV","M","573","FA","LIV 3<br/>@NEW 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03m5c*","Ruben Loftus-Cheek","CHE","M","410","FA","WOL 0<br/>@CHE 2 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*03dxa*","Kevin Long","BUR","D","372","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*02los*","Shane Long","SOU","F","299","FA","SHU 1<br/>@SOU 3 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
"*059iy*","Ryan Longman","BHA","M","577","FA","BHA 2<br/>@BUR 1 F","48.72","-","-","0","0","0","0","0","0","0","0","0","0"
