"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","Int","BR","CSD"
"*03ra1*","Troy Deeney","WAT","F","167","RED","WAT 2<br/>@ARS 3 F","56.17","-","-","27","10","2","23","12","3","384","11","62","0"
"*04spy*","Mason Greenwood","MUN","M,F","168","MOV","MUN 2<br/>@LEI 0 F","56.16","-","-","31","10","1","20","11","0","427","6","62","0"
"*051kd*","Jamal Lewis","NOR","D","169","FA","NOR 0<br/>@MCI 5 F","56.06","-","-","28","1","0","4","35","4","824","25","141","2"
"*04mqu*","Aymeric Laporte","MCI","D","170","NIM","NOR 0<br/>@MCI 5 F","55.95","-","-","15","1","0","2","6","1","1,062","20","70","11"
"*02m4d*","Craig Dawson","WAT","D","171","FA","WAT 2<br/>@ARS 3 F","55.92","-","-","29","2","0","7","18","6","726","34","123","6"
"*02m66*","Marcos Alonso","CHE","D,M","172","FUG","WOL 0<br/>@CHE 2 F","55.86","-","-","18","4","2","8","16","4","750","20","96","4"
"*05748*","Ismaila Sarr","WAT","M,F","173","FA","WAT 2<br/>@ARS 3 F","55.83","-","-","28","5","4","13","10","1","401","18","121","0"
"*02lpl*","Seamus Coleman","EVE","D","175","FA","BOU 3<br/>@EVE 1 F","55.52","-","-","27","0","1","4","31","6","643","24","118","7"
"*04fw3*","Alexandre Lacazette","ARS","F","176","PNP","WAT 2<br/>@ARS 3 F","55.51","-","-","30","10","4","26","16","8","386","7","76","0"
"*0520r*","Leandro Trossard","BHA","M,F","177","FA","BHA 2<br/>@BUR 1 F","55.5","-","-","31","5","3","12","17","0","529","9","100","0"
"*02ygz*","Moussa Sissoko","TOT","M","178","NIM","TOT 1<br/>@CRY 1 F","55.37","-","-","29","2","1","4","25","8","1,090","27","204","0"
"*0570n*","Joao Cancelo","MCI","D","179","FA","NOR 0<br/>@MCI 5 F","55.3","-","-","17","0","0","3","24","4","913","21","99","8"
"*02opl*","Jack Cork","BUR","M","180","FA","BHA 2<br/>@BUR 1 F","55.2","-","-","30","0","0","6","24","1","719","28","171","0"
"*0435t*","Ilkay Gundogan","MCI","M","181","FA","NOR 0<br/>@MCI 5 F","55.06","-","-","31","2","1","8","16","7","1,794","31","137","0"
"*043c0*","Aaron Mooy","BHA","M,F","182","FA","BHA 2<br/>@BUR 1 F","54.88","-","-","31","2","2","8","24","4","790","23","134","0"
"*04rd1*","Stuart Armstrong","SOU","M,F","183","SJB","SHU 1<br/>@SOU 3 F","54.47","-","-","30","5","3","20","19","4","446","11","106","0"
"*03rxs*","Harry Wilson","BOU","M,F","184","FA","BOU 3<br/>@EVE 1 F","54.25","-","-","31","7","0","20","13","2","437","11","85","0"
"*051ki*","Ben Godfrey","NOR","D,M","185","FA","NOR 0<br/>@MCI 5 F","54.22","-","-","30","0","0","6","14","6","1,459","25","162","4"
"*0477b*","Oliver McBurnie","SHU","F","186","FA","SHU 1<br/>@SOU 3 F","53.95","-","-","36","6","0","25","22","4","373","15","91","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","187","KLI","BOU 3<br/>@EVE 1 F","53.73","-","-","36","13","1","38","5","9","354","6","55","0"
"*03aoj*","Nemanja Matic","MUN","M","188","RED","MUN 2<br/>@LEI 0 F","53.72","-","-","21","0","2","2","24","3","1,100","22","146","0"
"*0435m*","Granit Xhaka","ARS","M","189","PNP","WAT 2<br/>@ARS 3 F","53.45","-","-","31","1","2","3","25","10","1,677","21","195","0"
"*02m5c*","Phil Bardsley","BUR","D","190","PMP","BHA 2<br/>@BUR 1 F","53.42","-","-","21","0","1","4","36","6","435","30","80","9"
"*02rlu*","Craig Cathcart","WAT","D","191","FA","WAT 2<br/>@ARS 3 F","53.4","-","-","29","0","0","1","26","7","737","25","128","9"
"*02m87*","Oriol Romeu","SOU","M","192","FA","SHU 1<br/>@SOU 3 F","53.38","-","-","30","0","0","0","35","5","868","34","152","0"
"*04gyl*","Benjamin Mendy","MCI","D","193","NIM","NOR 0<br/>@MCI 5 F","53.33","-","-","19","0","2","1","15","3","975","16","83","9"
"*02lnf*","Joshua King","BOU","M,F","194","MOV","BOU 3<br/>@EVE 1 F","53.27","-","-","26","6","4","13","6","0","361","8","105","0"
"*056iw*","Allan Saint-Maximin","NEW","M,F","195","ADB","LIV 3<br/>@NEW 1 F","53.26","-","-","26","3","4","21","8","0","341","9","115","0"
"*04f6o*","Will Hughes","WAT","M","196","FA","WAT 2<br/>@ARS 3 F","53.22","-","-","30","1","1","3","47","9","658","37","127","0"
"*02m6a*","Gary Cahill","CRY","D","198","FA","TOT 1<br/>@CRY 1 F","52.56","-","-","25","0","1","5","8","1","852","18","98","7"
"*03bwz*","Harry Winks","TOT","M","199","FA","TOT 1<br/>@CRY 1 F","52.43","-","-","31","0","0","2","24","9","1,529","36","162","0"
"*035mq*","Isaac Hayden","NEW","D,M","200","FA","LIV 3<br/>@NEW 1 F","52.28","-","-","29","1","2","3","27","7","633","38","114","0"
"*02oq6*","Luke Shaw","MUN","D","201","KLI","MUN 2<br/>@LEI 0 F","52.21","-","-","24","0","0","5","18","7","999","24","92","9"
"*03yr0*","Daniel James","MUN","M,F","202","PNP","MUN 2<br/>@LEI 0 F","52.04","-","-","33","3","6","20","10","4","549","7","92","0"
"*043c1*","Oleksandr Zinchenko","MCI","D,M","203","PNP","NOR 0<br/>@MCI 5 F","51.8","-","-","19","0","0","3","19","3","1,097","17","82","8"
"*04rim*","Adam Masina","WAT","D","204","FA","WAT 2<br/>@ARS 3 F","51.75","-","-","26","1","0","3","22","3","441","28","99","7"
"*055se*","Marvelous Nakamba","AVL","M","205","FA","AVL 1<br/>@WHU 1 F","51.7","-","-","29","0","0","1","28","5","659","39","155","0"
"*03r9c*","Cedric Soares","SOU/ARS","D,M","206","FA","WAT 2<br/>@ARS 3 F","51.42","-","-","21","1","1","5","32","1","419","22","69","4"
"*030v5*","Andreas Christensen","CHE","D","207","PNP","WOL 0<br/>@CHE 2 F","51.35","-","-","21","0","0","2","21","5","1,194","29","107","3"
"*0410i*","Fikayo Tomori","CHE","D","208","FA","WOL 0<br/>@CHE 2 F","51.09","-","-","15","1","0","3","16","3","1,006","22","95","4"
"*052ca*","Ezri Konsa","AVL","D","209","FA","AVL 1<br/>@WHU 1 F","50.98","-","-","25","1","2","4","9","3","604","25","100","5"
"*04u6j*","Martin Montoya","BHA","D,M","210","FA","BHA 2<br/>@BUR 1 F","50.59","-","-","27","0","1","3","29","5","768","24","87","4"
"*04fjx*","Sead Kolasinac","ARS","D,M","211","FA","WAT 2<br/>@ARS 3 F","50.51","-","-","26","0","2","0","16","4","770","25","103","5"
"*02lz9*","Alex Oxlade-Chamberlain","LIV","M,F","212","FA","LIV 3<br/>@NEW 1 F","50.26","-","-","30","4","1","10","9","1","583","22","79","0"
"*03pig*","Jamaal Lascelles","NEW","D","213","FA","LIV 3<br/>@NEW 1 F","50.22","-","-","24","1","0","2","3","5","676","28","128","8"
"*0522t*","Anwar El Ghazi","AVL","M,F","214","FA","AVL 1<br/>@WHU 1 F","50.08","-","-","34","4","4","20","11","3","347","13","75","0"
"*0554u*","Trezeguet","AVL","M,F","215","FA","AVL 1<br/>@WHU 1 F","50.04","-","-","34","6","1","17","16","5","273","25","79","0"
"*02t1i*","Robert Snodgrass","WHU","M,F","217","FA","AVL 1<br/>@WHU 1 F","49.93","-","-","24","5","5","10","16","4","393","4","101","0"
"*051la*","David McGoldrick","SHU","F","218","FA","SHU 1<br/>@SOU 3 F","49.67","-","-","28","2","2","20","26","2","457","3","77","0"
"*0436l*","Christian Kabasele","WAT","D","219","FA","WAT 2<br/>@ARS 3 F","49.48","-","-","27","0","2","1","24","7","487","36","96","7"
"*04sft*","Yves Bissouma","BHA","M,F","220","SJB","BHA 2<br/>@BUR 1 F","49.4","-","-","22","1","0","7","38","4","526","21","105","0"
"*04y92*","Bukayo Saka","ARS","D,M,F","221","FA","WAT 2<br/>@ARS 3 F","49.24","-","-","26","1","5","4","21","6","550","12","87","5"
"*02lnq*","Paul Pogba","MUN","M","222","BAR","MUN 2<br/>@LEI 0 F","49.19","-","-","16","1","3","8","9","1","884","7","109","0"
"*03r8i*","Steve Cook","BOU","D","223","FA","BOU 3<br/>@EVE 1 F","48.78","-","-","29","1","0","2","11","9","1,007","44","112","3"
"*02yl5*","John Stones","MCI","D","224","FA","NOR 0<br/>@MCI 5 F","48.45","-","-","16","0","0","1","10","0","975","9","69","7"
"*0554i*","Joelinton","NEW","M,F","225","FA","LIV 3<br/>@NEW 1 F","48.27","-","-","38","2","2","15","20","7","629","11","118","0"
"*02lp5*","Adam Smith","BOU","D,M","226","FA","BOU 3<br/>@EVE 1 F","48.18","-","-","24","0","1","1","32","7","669","25","92","4"
"*04s1d*","Matteo Guendouzi","ARS","M","227","FA","WAT 2<br/>@ARS 3 F","48.1","-","-","24","0","1","5","16","6","1,018","29","117","0"
"*0574a*","Giovani Lo Celso","TOT","M","228","PMP","TOT 1<br/>@CRY 1 F","47.79","-","-","28","0","2","3","29","6","820","9","123","0"
"*04rhe*","Naby Keita","LIV","M","229","ADB","LIV 3<br/>@NEW 1 F","47.72","-","-","18","2","3","7","14","1","602","10","82","0"
"*04s60*","Jannik Vestergaard","SOU","D","230","FA","SHU 1<br/>@SOU 3 F","47.55","-","-","19","1","0","5","12","3","634","26","80","4"
"*02on3*","Matthew Lowton","BUR","D","231","FA","BHA 2<br/>@BUR 1 F","47.51","-","-","17","0","1","0","22","2","378","27","72","6"
"*04rzo*","Lucas Torreira","ARS","M","232","FA","WAT 2<br/>@ARS 3 F","47.48","-","-","29","1","1","6","16","7","793","34","107","0"
"*02llb*","James McCarthy","CRY","M","233","FA","TOT 1<br/>@CRY 1 F","47.38","-","-","33","0","0","3","47","9","609","24","133","0"
"*038ze*","Alex Iwobi","EVE","M,F","234","FA","BOU 3<br/>@EVE 1 F","47.34","-","-","25","1","0","10","17","0","444","14","98","0"
"*04u6m*","Bernard","EVE","M,F","236","FA","BOU 3<br/>@EVE 1 F","47.22","-","-","27","3","2","5","22","2","416","16","81","0"
"*04fk1*","Pascal Gross","BHA","M,F","237","FA","BHA 2<br/>@BUR 1 F","47.18","-","-","29","2","4","9","13","4","715","9","83","0"
"*04abb*","Phil Foden","MCI","M,F","238","KLI","NOR 0<br/>@MCI 5 F","46.97","-","-","23","5","2","15","10","0","437","6","36","0"
"*03m3q*","Ainsley Maitland-Niles","ARS","D,M","239","FA","WAT 2<br/>@ARS 3 F","46.52","-","-","20","0","2","1","23","7","688","28","86","3"
"*040ah*","Tom Davies","EVE","M","240","FA","BOU 3<br/>@EVE 1 F","46.51","-","-","30","1","0","5","17","8","681","35","138","0"
"*02lpf*","Ross Barkley","CHE","M","241","PMP","WOL 0<br/>@CHE 2 F","46.49","-","-","21","1","4","12","9","0","550","7","69","0"
"*051kp*","Onel Hernandez","NOR","M","242","FA","NOR 0<br/>@MCI 5 F","46.23","-","-","26","1","2","8","19","0","240","19","75","0"
"*02lk9*","Martin Kelly","CRY","D","243","FA","TOT 1<br/>@CRY 1 F","46.19","-","-","19","0","1","0","18","0","402","16","71","6"
"*051k1*","Conor Hourihane","AVL","M","244","FA","AVL 1<br/>@WHU 1 F","46.04","-","-","27","3","5","10","10","4","506","9","72","0"
"*04ril*","Sokratis","ARS","D","245","FA","WAT 2<br/>@ARS 3 F","45.42","-","-","19","2","0","2","16","6","905","17","71","4"
"*03jly*","Andreas Pereira","MUN","M,F","246","FA","MUN 2<br/>@LEI 0 F","45.41","-","-","25","1","3","14","13","3","551","7","85","0"
"*02lp2*","Danny Rose","TOT/NEW","D,M","247","FA","LIV 3<br/>@NEW 1 F","44.73","-","-","23","0","0","0","23","7","664","18","95","6"
"*02lp7*","Andros Townsend","CRY","M,F","248","FA","TOT 1<br/>@CRY 1 F","44.7","-","-","24","1","1","5","21","0","301","15","97","0"
"*04sau*","Fabian Balbuena","WHU","D","249","FA","AVL 1<br/>@WHU 1 F","44.66","-","-","17","1","0","4","12","2","360","26","65","5"
"*02lq4*","Shkodran Mustafi","ARS","D","250","FA","WAT 2<br/>@ARS 3 F","44.47","-","-","15","0","1","4","10","2","691","18","42","5"
"*04qr4*","Kortney Hause","AVL","D","252","FA","AVL 1<br/>@WHU 1 F","44.4","-","-","18","1","0","3","9","3","587","20","109","2"
"*051kc*","Christoph Zimmermann","NOR","D","253","FA","NOR 0<br/>@MCI 5 F","44.08","-","-","17","0","1","1","21","3","522","19","79","3"
"*02rn6*","James Tomkins","CRY","D","254","FA","TOT 1<br/>@CRY 1 F","44","-","-","18","1","1","3","17","5","533","21","82","3"
"*05247*","Tanguy Ndombele","TOT","M","255","FA","TOT 1<br/>@CRY 1 F","43.94","-","-","21","2","2","4","16","3","541","14","79","0"
"*02lpr*","Shane Duffy","BHA","D","256","FA","BHA 2<br/>@BUR 1 F","43.85","-","-","19","1","0","1","9","2","517","21","56","6"
"*02m5m*","Ahmed El Mohamady","AVL","D","257","FA","AVL 1<br/>@WHU 1 F","43.85","-","-","18","1","1","1","9","1","397","13","73","6"
"*02lzx*","Scott Dann","CRY","D","258","FA","TOT 1<br/>@CRY 1 F","43.82","-","-","16","0","1","2","4","0","473","14","73","6"
"*04spn*","Eric Garcia","MCI","D","259","PMP","NOR 0<br/>@MCI 5 F","43.52","-","-","13","0","0","1","1","1","678","18","38","8"
"*05gcp*","Tomas Soucek","WHU","M","260","FA","AVL 1<br/>@WHU 1 F","43.48","-","-","13","3","0","8","15","0","276","22","48","0"
"*03ysd*","Sam Byram","NOR","D","261","FA","NOR 0<br/>@MCI 5 F","43.47","-","-","17","0","0","2","22","4","495","26","73","3"
"*02ltx*","Dan Gosling","BOU","M","262","FA","BOU 3<br/>@EVE 1 F","43.43","-","-","24","3","1","6","10","3","402","20","82","0"
