"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*04agz*","Declan Rice","ARS","M","29","NOAD","NEW Sat 6:30PM","78.72","100%","0%","32","4","61","13","33","2","1,650","21","46","0"
"*06cmm*","Dominik Szoboszlai","LIV","D,M","30","SJB","CRY Sat 4:00PM","77.96","100%","0%","31","5","61","19","29","10","1,700","51","17","3"
"*06uyc*","Adrien Truffert","BOU","D","32","FA","","77.54","98%","0%","34","1","24","4","48","4","1,161","55","43","9"
"*06rgg*","Michael Kayode","BRF","D","33","NIM","@MUN Mon 9:00PM","76.98","93%","+2%","32","1","31","2","41","6","854","91","38","9"
"*04spw*","James Garner","EVE","D,M","34","ACB","@WHU Sat 4:00PM","76.31","84%","0%","33","2","46","12","60","9","1,339","49","23","4"
"*0642l*","Casemiro","MUN","M","35","ACB","BRF Mon 9:00PM","76.16","82%","+1%","31","8","32","16","39","11","1,172","37","50","0"
"*05ocl*","Ollie Watkins","AVL","F","36","NIM","@FUL Sat 1:30PM","76.14","99%","+1%","32","11","20","29","13","3","302","51","33","0"
"*063zi*","Matheus Nunes","MCI","D,M","37","MOV","","76.11","99%","0%","30","1","25","2","37","4","1,701","50","32","12"
"*03vlj*","Virgil van Dijk","LIV","D","38","PMP","CRY Sat 4:00PM","76.09","100%","0%","33","4","11","11","13","4","2,179","17","153","10"
"*0639x*","Marcus Tavernier","BOU","M","39","ACB","","76.07","99%","0%","30","6","43","20","20","5","809","64","22","0"
"*06v21*","Florian Wirtz","LIV","M","40","NIM","CRY Sat 4:00PM","76.01","100%","0%","29","4","57","16","24","1","1,113","54","6","0"
"*06zbx*","Anton Stach","LEE","M,F","41","OSW","","75.66","78%","-3%","26","4","58","13","32","3","684","38","43","0"
"*05trb*","Bryan Mbeumo","MUN","M,F","42","MOV","BRF Mon 9:00PM","75.26","100%","0%","28","9","41","30","10","4","573","41","12","0"
"*0427d*","James Tarkowski","EVE","D","44","NIM","@WHU Sat 4:00PM","74.95","99%","0%","32","1","14","8","24","5","1,089","35","130","11"
"*05oh0*","Jan-Paul van Hecke","BHA","D","45","SJB","","74.26","85%","0%","32","3","12","10","26","8","1,912","40","98","8"
"*05nzu*","Gabriel Magalhaes","ARS","D","46","LHO","NEW Sat 6:30PM","74.06","100%","0%","27","3","6","5","18","4","1,314","29","91","13"
"*061vk*","Jaidon Anthony","BUR","M,F","47","RED","","74.01","88%","-1%","33","7","34","20","21","4","603","72","11","0"
"*06v07*","Rayan Cherki","MCI","M","48","LHO","","73.76","100%","0%","28","4","54","12","17","1","980","76","1","0"
"*06f8y*","Alex Scott","BOU","M","49","KLI","","73.49","75%","0%","34","3","24","12","34","4","1,066","84","34","0"
"*06zbz*","Hugo Ekitike","LIV","F","50","FA","CRY Sat 4:00PM","73.15","55%","-40%","28","11","21","19","7","0","307","50","31","0"
"*04qrc*","Raul Jimenez","FUL","F","51","FA","AVL Sat 1:30PM","72.88","91%","-2%","32","9","23","18","18","5","314","40","80","0"
"*067zv*","Kevin Schade","BRF","M,F","52","OSW","@MUN Mon 9:00PM","72.78","99%","+1%","30","7","28","22","21","9","322","60","78","0"
"*0703c*","Nordi Mukiele","SUN","D","53","W_W","NOT 5<br/>@SUN 0 F","72.5","82%","+2%","28","2","22","3","42","5","764","32","70","8"
"*05nns*","Danny Ballard","SUN","D","54","PMP","NOT 5<br/>@SUN 0 F","72.36","78%","+4%","28","2","15","9","18","4","896","32","106","7"
"*03rxs*","Harry Wilson","FUL","M,F","55","BAR","AVL Sat 1:30PM","72.24","99%","0%","31","10","34","24","17","6","563","46","4","0"
"*04abb*","Phil Foden","MCI","M,F","57","FA","","72.15","96%","-2%","28","7","46","17","13","4","937","49","6","0"
"*0700p*","Malick Thiaw","NEW","D","58","OSW","@ARS Sat 6:30PM","71.91","77%","-2%","30","4","6","13","27","4","1,264","15","106","5"
"*05u7f*","Ibrahima Konate","LIV","D","59","FA","CRY Sat 4:00PM","71.64","98%","+2%","31","1","7","3","28","6","1,672","40","107","10"
"*063e7*","Marcos Senesi","BOU","D","60","SJB","","71.58","91%","0%","33","0","23","5","32","8","1,586","37","86","9"
"*06v0p*","Enzo Le Fee","SUN","M,F","61","NIM","NOT 5<br/>@SUN 0 F","71.55","89%","+3%","32","4","43","9","49","5","782","45","17","0"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","62","PMP","@WHU Sat 4:00PM","70.36","87%","+1%","26","7","31","13","23","6","726","64","17","0"
"*06phe*","Ferdi Kadioglu","BHA","D,M","63","NIM","","70.22","61%","0%","33","1","16","12","38","6","1,014","47","28","9"
"*06pe1*","Mateus Goncalo Espanha Fernandes","WHU","M,F","64","KLI","EVE Sat 4:00PM","70.08","75%","0%","31","3","32","5","59","7","1,143","67","15","0"
"*06fxe*","Ryan Gravenberch","LIV","M","65","BAR","CRY Sat 4:00PM","69.87","95%","0%","31","4","25","9","32","5","1,505","63","25","0"
"*06pia*","Maxence Lacroix","CRY","D","66","RED","@LIV Sat 4:00PM","69.85","96%","0%","30","1","6","4","33","6","1,254","23","103","11"
"*06v0g*","Trai Hume","SUN","D,M","67","W_W","NOT 5<br/>@SUN 0 F","69.78","67%","+8%","34","1","21","6","44","9","696","38","63","10"
"*061vp*","Brenden Aaronson","LEE","M,F","69","W_W","","69.38","74%","0%","33","4","31","16","21","2","493","74","23","0"
"*05r34*","Amad Diallo","MUN","M,F","70","FA","BRF Mon 9:00PM","69.1","97%","-1%","27","2","38","18","23","2","709","70","10","0"
"*06p6j*","Evanilson","BOU","F","71","OSW","","68.69","97%","0%","32","6","29","22","4","2","313","42","44","0"
"*03aqp*","Mohamed Salah","LIV","M,F","72","BAR","CRY Sat 4:00PM","68.55","100%","0%","24","7","47","17","12","1","552","30","8","0"
"*06y9z*","Martin Zubimendi","ARS","M","73","MOV","NEW Sat 6:30PM","68.46","92%","0%","33","5","16","9","34","4","1,543","19","60","0"
"*062oh*","Jake O'Brien","EVE","D","74","OSW","@WHU Sat 4:00PM","68.42","74%","+7%","32","0","14","4","29","5","728","19","100","11"
