"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","G","A","SOT","TkW","DPt2","AP","CoSF","AER","CSD"
"*03man*","Oluwaseyi Ojo","LIV","M","694","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y6s*","Armstrong Oko-Flex","WHU","F","695","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ye8*","Kazeem Olaigbe","SOU","F","697","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05udu*","Tobi Omole","TOT","D","698","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*060g4*","Tommi O'Reilly","AVL","M","689","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05xtp*","Salah-Eddine Oulad M'hand","ARS","M","699","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nnt*","Daniel Oyegoke","ARS/BRF","D","700","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05udt*","Maksim Paskotsi","TOT","D","701","FA","TOT 5<br/>@NOR 0 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y9e*","Charlie Patino","ARS","M","702","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05yct*","Nathan Patterson","EVE","D","703","FA","EVE 1<br/>@ARS 5 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05nuf*","Myles Peart-Harris","BRF","M","704","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04rxe*","Nathaniel Phillips","LIV","D","705","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05ylz*","Luke Plange","CRY","F","706","FA","MUN 0<br/>@CRY 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y5b*","Freddie Potts","WHU","M","707","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05795*","Dennis Praet","LEI","M,F","708","FA","SOU 1<br/>@LEI 4 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05y7i*","Jarell Quansah","LIV","D","709","FA","WOL 1<br/>@LIV 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*0452r*","Domingos Quina","WAT","M","710","FA","WAT 1<br/>@CHE 2 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05udh*","Luka Racic","BRF","D","711","FA","LEE 2<br/>@BRF 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05vyc*","Aaron Ramsey","AVL","M","712","FA","AVL 2<br/>@MCI 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*02ono*","Winston Reid","WHU","D","714","FA","WHU 1<br/>@BHA 3 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*058vg*","Lewis Richardson","BUR","M","715","FA","NEW 2<br/>@BUR 1 F","0","-","-","0","0","0","0","0","0","0","0","0","0"
