"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*04tsd*","Japhet Tanganga","TOT","D","410","FA","TOT 4<br/>@LEI 2 F","24.67","-","-","-","-","6","0","1","1","4","2","161","3","12","2"
"*02lz9*","Alex Oxlade-Chamberlain","LIV","M,F","411","FA","CRY 0<br/>@LIV 2 F","24.39","-","-","-","-","13","1","2","4","0","0","104","2","4","0"
"*02t1i*","Robert Snodgrass","WHU/WBA","M","412","FA","WBA 1<br/>@LEE 3 F","24.29","-","-","-","-","11","0","3","1","12","2","108","1","9","0"
"*04lax*","Hamza Choudhury","LEI","M","413","FA","TOT 4<br/>@LEI 2 F","24.27","-","-","-","-","10","0","0","1","7","1","190","4","6","0"
"*03xrs*","Axel Tuanzebe","MUN","D","414","FA","MUN 2<br/>@WOL 1 F","24.26","-","-","-","-","9","0","0","0","7","2","233","3","6","1"
"*05r8o*","Jean-Philippe Mateta","CRY","F","415","FA","CRY 0<br/>@LIV 2 F","23.83","-","-","-","-","7","1","1","2","1","0","29","0","13","0"
"*052ju*","Matty Longstaff","NEW","M","416","FA","NEW 2<br/>@FUL 0 F","23.65","-","-","-","-","5","0","2","0","2","0","115","7","5","0"
"*04e1h*","Dale Stephens","BHA/BUR","M","417","FA","BUR 0<br/>@SHU 1 F","23.64","-","-","-","-","7","0","0","0","6","1","98","8","5","0"
"*04ym3*","Ian Poveda-Ocampo","LEE","F","418","FA","WBA 1<br/>@LEE 3 F","23.61","-","-","-","-","14","0","5","3","4","0","84","1","0","0"
"*02lpz*","Phil Jagielka","SHU","D","419","FA","BUR 0<br/>@SHU 1 F","23.59","-","-","-","-","10","0","0","0","4","4","146","10","13","3"
"*052cc*","Billy Gilmour","CHE","M","420","FA","CHE 1<br/>@AVL 2 F","23.56","-","-","-","-","5","0","3","0","2","0","198","3","2","0"
"*03azt*","Josh Onomah","FUL","M","421","FA","NEW 2<br/>@FUL 0 F","23.48","-","-","-","-","11","0","1","1","8","1","153","2","4","0"
"*05opn*","Carlos Vinicius","TOT","F","422","FA","TOT 4<br/>@LEI 2 F","22.92","-","-","-","-","9","1","2","4","1","2","24","2","14","0"
"*04qfj*","Denis Odoi","FUL","D","423","FA","NEW 2<br/>@FUL 0 F","22.88","-","-","-","-","3","0","1","1","3","1","139","5","6","0"
"*05s00*","Daniel Jebbison","SHU","F","424","FA","BUR 0<br/>@SHU 1 F","22.76","-","-","-","-","4","1","1","2","2","0","24","1","5","0"
"*04mqv*","Emerson","CHE","D","426","FA","CHE 1<br/>@AVL 2 F","22.55","-","-","-","-","2","0","0","0","3","0","41","1","3","2"
"*04idk*","Davy Propper","BHA","M","427","FA","BHA 0<br/>@ARS 2 F","22.43","-","-","-","-","7","0","0","2","5","0","70","1","3","0"
"*05oid*","Cengiz Under","LEI","M","428","FA","TOT 4<br/>@LEI 2 F","22.42","-","-","-","-","9","0","6","1","1","0","86","2","0","0"
"*02m5c*","Phil Bardsley","BUR","D","429","FA","BUR 0<br/>@SHU 1 F","22.31","-","-","-","-","4","0","0","0","5","2","70","6","7","1"
"*05ogb*","Anthony Elanga","MUN","F","430","FA","MUN 2<br/>@WOL 1 F","22.13","-","-","-","-","2","1","1","1","2","0","40","1","1","0"
"*02lm3*","Fabian Delph","EVE","M","431","FA","EVE 0<br/>@MCI 5 F","22.06","-","-","-","-","8","0","2","0","2","1","195","4","0","0"
"*05afk*","Owen Otasowie","WOL","M","432","FA","MUN 2<br/>@WOL 1 F","22.03","-","-","-","-","6","0","2","0","5","1","43","3","8","0"
"*03pie*","Divock Origi","LIV","F","433","FA","CRY 0<br/>@LIV 2 F","21.93","-","-","-","-","9","0","2","2","2","0","45","1","3","0"
"*03819*","Mamadou Sakho","CRY","D","434","FA","CRY 0<br/>@LIV 2 F","21.8","-","-","-","-","4","0","0","0","2","0","81","3","5","0"
"*05mzy*","Gaetano Berardi","LEE","D","435","FA","WBA 1<br/>@LEE 3 F","21.64","-","-","-","-","2","0","0","0","2","0","46","1","4","1"
"*059j3*","Brandon Williams","MUN","D,M","436","FA","MUN 2<br/>@WOL 1 F","21.64","-","-","-","-","4","0","1","1","0","0","104","1","0","1"
"*0554t*","William Smallbone","SOU","M","437","FA","SOU 0<br/>@WHU 3 F","21.49","-","-","-","-","3","0","0","1","3","0","61","2","2","0"
"*03m5e*","Jonjoe Kenny","EVE","D","438","FA","EVE 0<br/>@MCI 5 F","21.31","-","-","-","-","4","0","0","0","1","0","35","1","0","2"
"*05r34*","Amad Diallo","MUN","M,F","439","FA","MUN 2<br/>@WOL 1 F","21.14","-","-","-","-","3","0","2","1","3","0","52","0","1","0"
"*051l0*","Jack O'Connell","SHU","D","440","FA","BUR 0<br/>@SHU 1 F","20.97","-","-","-","-","2","0","0","0","1","0","55","2","5","0"
